Time,ai0,ai1,ai2,ai3,
0,-1.391904e+00,-3.478998e-03,-6.060095e-03,9.423527e-04,
1.000000e-01,-1.391904e+00,-9.346940e-04,-1.369719e-02,9.423527e-04,
2.000000e-01,-1.399537e+00,1.609610e-03,1.576996e-03,6.030850e-03,
3.000000e-01,-1.391904e+00,-9.346940e-04,-6.060095e-03,9.423527e-04,
4.000000e-01,-1.396993e+00,4.153914e-03,-8.605792e-03,-4.146144e-03,
5.000000e-01,-1.386816e+00,1.609610e-03,-1.115149e-02,-1.601896e-03,
6.000000e-01,-1.391904e+00,-9.346940e-04,-1.115149e-02,-6.690393e-03,
7.000000e-01,-1.386816e+00,-9.346940e-04,-6.060095e-03,9.423527e-04,
8.000000e-01,-1.399537e+00,1.609610e-03,-9.687014e-04,9.423527e-04,
9.000000e-01,-1.399537e+00,1.609610e-03,-9.687014e-04,-1.601896e-03,
1,-1.391904e+00,-6.023302e-03,-6.060095e-03,6.030850e-03,
1.100000e+00,-1.396993e+00,-9.346940e-04,-9.687014e-04,9.423527e-04,
1.200000e+00,-1.391904e+00,4.153914e-03,-6.060095e-03,-6.690393e-03,
1.300000e+00,-1.394449e+00,-6.023302e-03,-6.060095e-03,6.030850e-03,
1.400000e+00,-1.391904e+00,-9.346940e-04,-6.060095e-03,9.423527e-04,
1.500000e+00,-1.399537e+00,6.698218e-03,-9.687014e-04,-6.690393e-03,
1.600000e+00,-1.394449e+00,1.178683e-02,-3.514398e-03,-6.690393e-03,
1.700000e+00,-1.391904e+00,1.609610e-03,-6.060095e-03,9.423527e-04,
1.800000e+00,-1.399537e+00,-9.346940e-04,-6.060095e-03,-6.690393e-03,
1.900000e+00,-1.386816e+00,6.698218e-03,-1.369719e-02,-6.690393e-03,
2,-1.386816e+00,1.609610e-03,-1.115149e-02,9.423527e-04,
2.100000e+00,-1.389360e+00,-6.023302e-03,-6.060095e-03,6.030850e-03,
2.200000e+00,-1.386816e+00,-9.346940e-04,-1.115149e-02,9.423527e-04,
2.300000e+00,-1.394449e+00,-6.023302e-03,-8.605792e-03,6.030850e-03,
2.400000e+00,-1.386816e+00,6.698218e-03,-1.369719e-02,-6.690393e-03,
2.500000e+00,-1.396993e+00,-9.346940e-04,-9.687014e-04,-1.601896e-03,
2.600000e+00,-1.394449e+00,1.609610e-03,-3.514398e-03,-1.601896e-03,
2.700000e+00,-1.394449e+00,-6.023302e-03,-3.514398e-03,8.575098e-03,
2.800000e+00,-1.386816e+00,1.609610e-03,-1.115149e-02,9.423527e-04,
2.900000e+00,-1.391904e+00,1.609610e-03,-6.060095e-03,9.423527e-04,
3,-1.386816e+00,-9.346940e-04,-1.369719e-02,9.423527e-04,
3.100000e+00,-1.386816e+00,-9.346940e-04,-3.514398e-03,-1.601896e-03,
3.200000e+00,-1.394449e+00,6.698218e-03,-8.605792e-03,9.423527e-04,
3.300000e+00,-1.386816e+00,9.242522e-03,-1.115149e-02,-6.690393e-03,
3.400000e+00,-1.394449e+00,6.698218e-03,-8.605792e-03,-6.690393e-03,
3.500000e+00,-1.386816e+00,-8.567606e-03,-1.369719e-02,6.030850e-03,
3.600000e+00,-1.399537e+00,1.609610e-03,-9.687014e-04,-1.601896e-03,
3.700000e+00,-1.386816e+00,1.609610e-03,-1.369719e-02,9.423527e-04,
3.800000e+00,-1.391904e+00,6.698218e-03,-6.060095e-03,-6.690393e-03,
3.900000e+00,-1.389360e+00,1.609610e-03,-1.115149e-02,9.423527e-04,
4,-1.394449e+00,6.698218e-03,-3.514398e-03,-6.690393e-03,
4.100000e+00,-1.386816e+00,-3.478998e-03,-6.060095e-03,6.030850e-03,
4.200000e+00,-1.391904e+00,-9.346940e-04,-1.369719e-02,9.423527e-04,
4.300000e+00,-1.386816e+00,1.609610e-03,-1.369719e-02,9.423527e-04,
4.400000e+00,-1.386816e+00,1.609610e-03,-6.060095e-03,9.423527e-04,
4.500000e+00,-1.394449e+00,-6.023302e-03,-9.687014e-04,6.030850e-03,
4.600000e+00,-1.386816e+00,1.609610e-03,-1.369719e-02,9.423527e-04,
4.700000e+00,-1.386816e+00,-9.346940e-04,-6.060095e-03,9.423527e-04,
4.800000e+00,-1.394449e+00,6.698218e-03,-1.369719e-02,-4.146144e-03,
4.900000e+00,-1.389360e+00,6.698218e-03,-1.624288e-02,-6.690393e-03,
5,-1.394449e+00,-6.023302e-03,-3.514398e-03,6.030850e-03,
5.100000e+00,-1.386816e+00,-3.478998e-03,-6.060095e-03,8.575098e-03,
5.200000e+00,-1.402081e+00,1.609610e-03,-3.514398e-03,9.423527e-04,
5.300000e+00,-1.396993e+00,-3.478998e-03,-8.605792e-03,3.486601e-03,
5.400000e+00,-1.391904e+00,1.609610e-03,-8.605792e-03,9.423527e-04,
5.500000e+00,-1.399537e+00,1.609610e-03,-3.514398e-03,9.423527e-04,
5.600000e+00,-1.391904e+00,-6.023302e-03,-9.687014e-04,6.030850e-03,
5.700000e+00,-1.391904e+00,4.153914e-03,-8.605792e-03,-6.690393e-03,
5.800000e+00,-1.394449e+00,-9.346940e-04,-8.605792e-03,9.423527e-04,
5.900000e+00,-1.391904e+00,-6.023302e-03,-8.605792e-03,8.575098e-03,
6,-1.386816e+00,1.178683e-02,-1.369719e-02,-6.690393e-03,
6.100000e+00,-1.386816e+00,-9.346940e-04,-8.605792e-03,-1.601896e-03,
6.200000e+00,-1.389360e+00,-9.346940e-04,-1.115149e-02,9.423527e-04,
6.300000e+00,-1.391904e+00,-6.023302e-03,-9.687014e-04,6.030850e-03,
6.400000e+00,-1.391904e+00,6.698218e-03,-6.060095e-03,9.423527e-04,
6.500000e+00,-1.394449e+00,-6.023302e-03,-6.060095e-03,3.486601e-03,
6.600000e+00,-1.394449e+00,1.609610e-03,-8.605792e-03,9.423527e-04,
6.700000e+00,-1.391904e+00,-6.023302e-03,-8.605792e-03,-1.601896e-03,
6.800000e+00,-1.394449e+00,-6.023302e-03,-3.514398e-03,6.030850e-03,
6.900000e+00,-1.391904e+00,6.698218e-03,-1.369719e-02,-6.690393e-03,
7,-1.399537e+00,-9.346940e-04,-3.514398e-03,9.423527e-04,
7.100000e+00,-1.391904e+00,6.698218e-03,-8.605792e-03,-6.690393e-03,
7.200000e+00,-1.389360e+00,1.609610e-03,-1.369719e-02,9.423527e-04,
7.300000e+00,-1.394449e+00,-9.346940e-04,-8.605792e-03,6.030850e-03,
7.400000e+00,-1.391904e+00,6.698218e-03,-6.060095e-03,-6.690393e-03,
7.500000e+00,-1.399537e+00,-6.023302e-03,-9.687014e-04,3.486601e-03,
7.600000e+00,-1.391904e+00,-9.346940e-04,-8.605792e-03,-6.690393e-03,
7.700000e+00,-1.391904e+00,1.609610e-03,-8.605792e-03,9.423527e-04,
7.800000e+00,-1.386816e+00,-9.346940e-04,-1.369719e-02,-1.601896e-03,
7.900000e+00,-1.391904e+00,-9.346940e-04,-1.369719e-02,-6.690393e-03,
8,-1.391904e+00,-6.023302e-03,-6.060095e-03,6.030850e-03,
8.100000e+00,-1.386816e+00,-9.346940e-04,-1.624288e-02,9.423527e-04,
8.200000e+00,-1.391904e+00,-3.478998e-03,-8.605792e-03,6.030850e-03,
8.300000e+00,-1.391904e+00,1.609610e-03,-9.687014e-04,9.423527e-04,
8.400000e+00,-1.391904e+00,-6.023302e-03,-6.060095e-03,6.030850e-03,
8.500000e+00,-1.396993e+00,-6.023302e-03,-9.687014e-04,6.030850e-03,
8.600000e+00,-1.399537e+00,1.178683e-02,-8.605792e-03,-6.690393e-03,
8.700000e+00,-1.394449e+00,1.609610e-03,-8.605792e-03,3.486601e-03,
8.800000e+00,-1.396993e+00,6.698218e-03,-8.605792e-03,-6.690393e-03,
8.900000e+00,-1.386816e+00,9.242522e-03,-1.369719e-02,-6.690393e-03,
9,-1.394449e+00,-9.346940e-04,-8.605792e-03,9.423527e-04,
9.100000e+00,-1.386816e+00,-9.346940e-04,-1.369719e-02,-6.690393e-03,
9.200000e+00,-1.389360e+00,-6.023302e-03,-3.514398e-03,3.486601e-03,
9.300000e+00,-1.396993e+00,-6.023302e-03,-9.687014e-04,9.423527e-04,
9.400000e+00,-1.399537e+00,-6.023302e-03,-9.687014e-04,6.030850e-03,
9.500000e+00,-1.394449e+00,6.698218e-03,-6.060095e-03,-6.690393e-03,
9.600000e+00,-1.386816e+00,-3.478998e-03,-8.605792e-03,6.030850e-03,
9.700000e+00,-1.391904e+00,6.698218e-03,-8.605792e-03,-1.601896e-03,
9.800000e+00,-1.386816e+00,1.609610e-03,-8.605792e-03,-1.601896e-03,
9.900000e+00,-1.391904e+00,6.698218e-03,-8.605792e-03,-6.690393e-03,
10,-1.396993e+00,1.609610e-03,-9.687014e-04,9.423527e-04,
1.010000e+01,-1.394449e+00,-6.023302e-03,-3.514398e-03,3.486601e-03,
1.020000e+01,-1.394449e+00,-6.023302e-03,-8.605792e-03,9.423527e-04,
1.030000e+01,-1.386816e+00,6.698218e-03,-1.369719e-02,9.423527e-04,
1.040000e+01,-1.399537e+00,4.153914e-03,-3.514398e-03,9.423527e-04,
1.050000e+01,-1.391904e+00,6.698218e-03,-1.369719e-02,-6.690393e-03,
1.060000e+01,-1.386816e+00,1.609610e-03,-1.369719e-02,-1.601896e-03,
1.070000e+01,-1.391904e+00,-6.023302e-03,-8.605792e-03,6.030850e-03,
1.080000e+01,-1.386816e+00,1.609610e-03,-1.624288e-02,9.423527e-04,
1.090000e+01,-1.386816e+00,6.698218e-03,-1.369719e-02,-6.690393e-03,
