Time,ai0,ai2,ai1,ai3,
0,2.361052e-03,6.012802e-02,1.609610e-03,9.423527e-04,
1.000000e-01,-1.832280e-04,6.012802e-02,-9.346940e-04,-6.690393e-03,
2.000000e-01,-5.271788e-03,5.503663e-02,6.698218e-03,-1.601896e-03,
3.000000e-01,7.449612e-03,4.994524e-02,-6.023302e-03,9.423527e-04,
4.000000e-01,9.993891e-03,6.012802e-02,-3.478998e-03,-4.146144e-03,
5.000000e-01,9.993891e-03,5.503663e-02,-3.478998e-03,9.423527e-04,
6.000000e-01,-1.832280e-04,6.012802e-02,-9.346940e-04,-6.690393e-03,
7.000000e-01,-1.832280e-04,5.503663e-02,-9.346940e-04,-6.690393e-03,
8.000000e-01,-7.816068e-03,5.758233e-02,6.698218e-03,9.423527e-04,
9.000000e-01,-1.832280e-04,4.994524e-02,1.609610e-03,-1.601896e-03,
1,-1.832280e-04,4.739954e-02,1.609610e-03,6.030850e-03,
1.100000e+00,-1.832280e-04,6.012802e-02,-9.346940e-04,-6.690393e-03,
1.200000e+00,-1.832280e-04,4.994524e-02,-9.346940e-04,6.030850e-03,
1.300000e+00,-1.832280e-04,6.012802e-02,-9.346940e-04,-6.690393e-03,
1.400000e+00,-1.832280e-04,5.758233e-02,-9.346940e-04,-6.690393e-03,
1.500000e+00,2.361052e-03,5.758233e-02,1.609610e-03,-1.601896e-03,
1.600000e+00,9.993891e-03,4.739954e-02,-6.023302e-03,6.030850e-03,
1.700000e+00,-5.271788e-03,5.249093e-02,6.698218e-03,-1.601896e-03,
1.800000e+00,-1.832280e-04,4.994524e-02,1.609610e-03,9.423527e-04,
1.900000e+00,-5.271788e-03,6.012802e-02,6.698218e-03,9.423527e-04,
2,2.361052e-03,5.758233e-02,-9.346940e-04,-6.690393e-03,
2.100000e+00,9.993891e-03,4.994524e-02,-6.023302e-03,9.423527e-04,
2.200000e+00,9.993891e-03,5.758233e-02,-6.023302e-03,-6.690393e-03,
2.300000e+00,-5.271788e-03,5.249093e-02,6.698218e-03,9.423527e-04,
2.400000e+00,-1.832280e-04,4.739954e-02,-6.023302e-03,9.423527e-04,
2.500000e+00,-1.832280e-04,3.467105e-02,1.609610e-03,6.030850e-03,
2.600000e+00,9.993891e-03,4.485384e-02,-3.478998e-03,9.423527e-04,
2.700000e+00,-1.832280e-04,3.976245e-02,-9.346940e-04,-6.690393e-03,
2.800000e+00,-1.832280e-04,3.976245e-02,4.153914e-03,6.030850e-03,
2.900000e+00,-5.271788e-03,3.976245e-02,6.698218e-03,6.030850e-03,
3,2.361052e-03,3.976245e-02,1.609610e-03,9.423527e-04,
3.100000e+00,-5.271788e-03,4.485384e-02,6.698218e-03,-4.146144e-03,
3.200000e+00,9.993891e-03,3.467105e-02,-6.023302e-03,9.423527e-04,
3.300000e+00,9.993891e-03,4.230815e-02,1.609610e-03,-4.146144e-03,
3.400000e+00,9.993891e-03,3.976245e-02,-6.023302e-03,9.423527e-04,
3.500000e+00,-5.271788e-03,3.976245e-02,6.698218e-03,9.423527e-04,
