Time,ai0,ai1,ai2,ai3,
0,-7.142306e-02,-9.346940e-04,-6.060095e-03,9.423527e-04,
1.000000e-01,-6.887878e-02,-6.023302e-03,-6.060095e-03,8.575098e-03,
2.000000e-01,-7.142306e-02,1.609610e-03,-8.605792e-03,9.423527e-04,
3.000000e-01,-6.124594e-02,-6.023302e-03,-6.060095e-03,-1.601896e-03,
4.000000e-01,-5.870166e-02,-9.346940e-04,-6.060095e-03,-1.601896e-03,
5.000000e-01,-5.870166e-02,-6.023302e-03,-9.687014e-04,8.575098e-03,
6.000000e-01,-5.615738e-02,-9.346940e-04,-6.060095e-03,9.423527e-04,
7.000000e-01,-6.887878e-02,-8.567606e-03,-9.687014e-04,6.030850e-03,
8.000000e-01,-6.633450e-02,1.609610e-03,-6.060095e-03,9.423527e-04,
9.000000e-01,-7.651162e-02,4.153914e-03,-6.060095e-03,6.030850e-03,
1,-6.379022e-02,-9.346940e-04,-1.115149e-02,9.423527e-04,
1.100000e+00,-5.106883e-02,4.153914e-03,-1.115149e-02,-6.690393e-03,
1.200000e+00,-5.361310e-02,-9.346940e-04,-6.060095e-03,-1.601896e-03,
1.300000e+00,-5.615738e-02,-9.346940e-04,-1.369719e-02,9.423527e-04,
1.400000e+00,-6.887878e-02,4.153914e-03,-9.687014e-04,-4.146144e-03,
1.500000e+00,-6.379022e-02,1.609610e-03,-9.687014e-04,9.423527e-04,
1.600000e+00,-6.633450e-02,-6.023302e-03,-6.060095e-03,6.030850e-03,
1.700000e+00,-6.633450e-02,-6.023302e-03,-9.687014e-04,6.030850e-03,
1.800000e+00,-5.870166e-02,1.609610e-03,-6.060095e-03,9.423527e-04,
1.900000e+00,-5.361310e-02,1.609610e-03,-1.115149e-02,9.423527e-04,
2,-8.160018e-02,1.609610e-03,-9.687014e-04,9.423527e-04,
2.100000e+00,-5.870166e-02,-9.346940e-04,-6.060095e-03,-6.690393e-03,
2.200000e+00,-5.106883e-02,-8.567606e-03,-1.369719e-02,9.423527e-04,
2.300000e+00,-5.870166e-02,-9.346940e-04,-1.115149e-02,9.423527e-04,
2.400000e+00,-6.379022e-02,-3.478998e-03,-8.605792e-03,6.030850e-03,
2.500000e+00,-4.852455e-02,1.609610e-03,-8.605792e-03,9.423527e-04,
2.600000e+00,-5.361310e-02,6.698218e-03,-6.060095e-03,9.423527e-04,
2.700000e+00,-6.124594e-02,1.609610e-03,-1.115149e-02,-6.690393e-03,
2.800000e+00,-5.615738e-02,6.698218e-03,-6.060095e-03,-6.690393e-03,
2.900000e+00,-5.870166e-02,1.609610e-03,-6.060095e-03,-6.690393e-03,
3,-5.361310e-02,4.153914e-03,-6.060095e-03,9.423527e-04,
3.100000e+00,-5.615738e-02,1.609610e-03,-9.687014e-04,9.423527e-04,
3.200000e+00,-5.361310e-02,-9.346940e-04,-6.060095e-03,-1.601896e-03,
3.300000e+00,-5.106883e-02,6.698218e-03,-1.115149e-02,-1.601896e-03,
3.400000e+00,-6.379022e-02,1.609610e-03,-9.687014e-04,9.423527e-04,
3.500000e+00,-5.870166e-02,-6.023302e-03,-6.060095e-03,8.575098e-03,
3.600000e+00,-7.142306e-02,-6.023302e-03,-3.514398e-03,6.030850e-03,
3.700000e+00,-5.361310e-02,-9.346940e-04,-9.687014e-04,9.423527e-04,
3.800000e+00,-5.361310e-02,6.698218e-03,-6.060095e-03,-6.690393e-03,
3.900000e+00,-4.598027e-02,4.153914e-03,-1.369719e-02,-6.690393e-03,
4,-5.870166e-02,-6.023302e-03,-9.687014e-04,3.486601e-03,
4.100000e+00,-4.852455e-02,-6.023302e-03,-1.369719e-02,6.030850e-03,
4.200000e+00,-5.106883e-02,4.153914e-03,-8.605792e-03,-6.690393e-03,
4.300000e+00,-4.852455e-02,-6.023302e-03,-6.060095e-03,-1.601896e-03,
4.400000e+00,-4.089171e-02,-6.023302e-03,-8.605792e-03,9.423527e-04,
4.500000e+00,-5.615738e-02,6.698218e-03,-9.687014e-04,-6.690393e-03,
4.600000e+00,-6.379022e-02,-6.023302e-03,-9.687014e-04,3.486601e-03,
